,Character,Dialogue,EpisodeNo,SEID,Season
135,GEORGE,"Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, Ive gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite.",1.0,S01E01,1.0
136,JERRY,This is how you operate?,1.0,S01E01,1.0
137,GEORGE,"Yeah, I wish.",1.0,S01E01,1.0
138,JERRY,Let me just wipe the sink.,1.0,S01E01,1.0
139,KESSLER,Why even give her an option for?,1.0,S01E01,1.0
140,KESSLER,"(to George, pointing at the mattress) Its unbelievable.",1.0,S01E01,1.0
141,GEORGE,Yeah.,1.0,S01E01,1.0
142,KESSLER,Hows the real estate-business?,1.0,S01E01,1.0
143,GEORGE,"(feeling awkward) Its uh, not bad, its comin along. Why? Did you need something.",1.0,S01E01,1.0
144,KRAMER,Do you handle any of that commercial...real estate?,1.0,S01E01,1.0
145,GEORGE,"Well, I might be getting into that.",1.0,S01E01,1.0
146,KESSLER,(slaps George on the arm) You keep me posted!,1.0,S01E01,1.0
147,GEORGE,"Im aware of you. (to Jerry) All right, lets go (opens the bathroom door) Lets go!",1.0,S01E01,1.0
148,JERRY,"The dating world is not a fun world...its a pressure world, its a world of tension, its a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, cause she needs things. Women need equipment. I dont know what they need. I know I dont have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one Im- always has been one of the amazing things to me...I have no cotton-balls, were all human beings, what is the story? Ive never had one...I never bought one, I never needed one, Ive never been in a situation, when I thought to myself I could use a cotton-ball right now. I can certainly get out of this mess. Women need them and they dont need one or two, they need thousands of them, they need bags, theyre like peat moss bags, have you ever seen these giant bags? Theyre huge and two days later, theyre out, theyre gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin with them? The only time I ever see em is in the bottom of your little waste basket, theres two or three, that look like theyve been through some horrible experience... tortured, interrogated, I dont know what happened to them. I once went out with a girl whos left a little zip-lock-baggy of cotton-balls over at my house. I dont know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town. Lets move on. The dating world is a world of pressure. Lets face it a date is a job interview that lasts all night. The only difference between a date and a job interview is not many job interviews is there a chance youll end up naked at the end of it. You know? Well, Bill, the boss thinks youre the man for the position, why dont you strip down and meet some of the people youll be workin with?",1.0,S01E01,1.0
149,JERRY,Wouldnt it be great if you could ask a woman what shes thinking?,1.0,S01E01,1.0
150,GEORGE,"What a world that would be, if you just could ask a woman what shes thinkin.",1.0,S01E01,1.0
151,JERRY,"You know, instead, Im like a detective. I gotta pick up clues, the whole thing is a murder investigation.",1.0,S01E01,1.0
152,GEORGE,"Listen, listen, dont get worked up, cause youre gonna know the whole story the minute she steps off the plane.",1.0,S01E01,1.0
153,JERRY,Really? How?,1.0,S01E01,1.0
154,GEORGE,Cause its all in the greeting.,1.0,S01E01,1.0
155,JERRY,Uh-huh.,1.0,S01E01,1.0
156,GEORGE,"All right, if she puts the bags down before she greets you, thats a good sign.",1.0,S01E01,1.0
157,JERRY,Right.,1.0,S01E01,1.0
158,GEORGE,"You know, anything in the, in the lip area is good.",1.0,S01E01,1.0
159,JERRY,Lip area.,1.0,S01E01,1.0
160,GEORGE,You know a hug definitely good.,1.0,S01E01,1.0
161,JERRY,Hug is definitely good.,1.0,S01E01,1.0
162,GEORGE,Sure.,1.0,S01E01,1.0
163,JERRY,"Although what if its one of those hugs where the shoulders are touching, the hips are eight feet apart?",1.0,S01E01,1.0
164,GEORGE,"Thats so brutal, I hate that.",1.0,S01E01,1.0
165,JERRY,You know how they do that?,1.0,S01E01,1.0
166,GEORGE,"Thats why, you know, a shake is bad.",1.0,S01E01,1.0
167,JERRY,"Shake is bad, but what if its the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?",1.0,S01E01,1.0
168,GEORGE,Hand sandwich.,1.0,S01E01,1.0
169,JERRY,Right.,1.0,S01E01,1.0
170,GEORGE,"I see, well, thats open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes.",1.0,S01E01,1.0
171,LAURA,Guess who?,1.0,S01E01,1.0
172,JERRY,"Hey, hey.",1.0,S01E01,1.0
173,LAURA & JERRY,Heeeey!,1.0,S01E01,1.0
174,JERRY,Its good to see you.,1.0,S01E01,1.0
175,LAURA,Hi.,1.0,S01E01,1.0
176,JERRY,This is my friend George.,1.0,S01E01,1.0
177,LAURA,"Hi, how nice to meet you.",1.0,S01E01,1.0
178,GEORGE,"Hi, how are you?",1.0,S01E01,1.0
179,JERRY,This is Laura.,1.0,S01E01,1.0
180,GEORGE,"Laura, sure.",1.0,S01E01,1.0
181,JERRY,(to Laura) I cant believe youre here.,1.0,S01E01,1.0
182,GEORGE & JERRY,"Ooh yeah, the bags, sure.",1.0,S01E01,1.0
183,LAURA,"Oh, thank you.",1.0,S01E01,1.0
184,JERRY,"(aside, to George) Now that was an interesting greeting, did you notice that, George?",1.0,S01E01,1.0
185,GEORGE,"Yes, the surprise blindfold greeting. That wasnt in the manual, I dont know.",1.0,S01E01,1.0
186,JERRY,"So uh, what do you think?",1.0,S01E01,1.0
187,LAURA,"Ooohhh, wow! This place isnt so bad.",1.0,S01E01,1.0
188,JERRY,"Yeah, it kind a motivates me to work on the road. So uh, make yourself at home. (Laura sits down on the couch, takes off her shoes and opens some buttons of her shirt.) So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?",1.0,S01E01,1.0
189,LAURA,"(laughs) Actually, um, do you have any wine?",1.0,S01E01,1.0
190,JERRY,"Uh, yeah, I think I do.",1.0,S01E01,1.0
191,LAURA,"(referring to a lamp) Oh, do you mind if I turn this down?",1.0,S01E01,1.0
192,JERRY,"Uh, no, yeah, go right ahead.",1.0,S01E01,1.0
193,LAURA,"Uh, Jerry, uh, I was wandering, would it be possible  and if its not, fine  for me to stay here tomorrow night too?",1.0,S01E01,1.0
194,JERRY,"Uh, yeah, yeah, sure, why dont you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin anything?",1.0,S01E01,1.0
195,LAURA,"No, Id love to do something. Uh, I have my seminar in the morning, then after that Im right open.",1.0,S01E01,1.0
196,JERRY,Really? What would you like to do?,1.0,S01E01,1.0
197,LAURA,"Well... now I know this sounds touristy, but Id just love to go on one of those five-hour boat rides around Manhattan.",1.0,S01E01,1.0
198,JERRY,"(unenthusiastic) Yeah, we could do that...why not, why not. (pouring the wine) Im just, Im really glad youre here.",1.0,S01E01,1.0
199,JERRY,"(answering) Yeah, hello...yes...yes, she is, hold on. (to Laura) Um, its for you.",1.0,S01E01,1.0
200,LAURA,"(to the phone) Hello?... Hi!... No no it was great, right on time... No, I, Im gonna stay here tomorrow...yes, yes its fine... No, were goin on a boat ride... Dont be silly... Im not gonna have this conversation... Look, Ill call you tomorrow... Okay, bye. (She hangs up the phone.) Never get engaged.",1.0,S01E01,1.0
201,JERRY,(not excited) Youre engaged?,1.0,S01E01,1.0
202,LAURA,"You, you really have no idea what its like until you actually do it. And Im on this emotional roller coaster.",1.0,S01E01,1.0
203,JERRY,Youre engaged?,1.0,S01E01,1.0
204,LAURA,"You know, I cant believe it myself sometimes. You have to start thinking in terms of we. Ugh, its a very stressful situation.",1.0,S01E01,1.0
205,JERRY,(matter-of-factly) Youre engaged.,1.0,S01E01,1.0
206,LAURA,"Yeah, yeah, hes a great guy...",1.0,S01E01,1.0
207,JERRY,Yeah.,1.0,S01E01,1.0
208,LAURA,"Youd really like him, you know, I cant wait to get on that boat.",1.0,S01E01,1.0
209,JERRY,Me too!,1.0,S01E01,1.0
210,JERRY,"I swear, I have absolutely no idea what women are thinking. I dont get it, okay? I, I, I admit, I, Im not getting the signals. I am not getting it! Women, theyre so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, thats it! Its the only thing we know for sure, it really is. We want women. How do we get them? Oh, we dont know bout that, we dont know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas weve had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! I dont think she likes me. The amazing thing is, that we still get women, dont we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. Thats why, I think, men get frustrated, when we see women reading articles, like Where to meet men? Were here, we are everywhere. Were honking our horns to serve you better.",1.0,S01E01,1.0
